name max avg min
111261_sf_hexa 131.091 3.26917 1.01453
111388_sf_hexa 171.357 2.88409 1.02892
111394_sf_hexa 70.4109 2.77655 1.02865
111399_sf_hexa 48.3036 2.63058 1.10964
111400_sf_hexa 8.70762 2.04278 1.09253
111402_sf_hexa 13.248 2.04166 1.00622
111403_sf_hexa 22.3942 2.3214 1.04123
111416_sf_hexa 49.0469 2.84347 1.03518
111588_sf_hexa 51.0805 2.37115 1.00696
111599_sf_hexa 104.184 2.88881 1.01414
1120761_sf_hexa 25.1138 2.28 1.01161
1120762_sf_hexa 12.439 1.6829 1.00002
1120764_sf_hexa 41.6773 2.99409 1.05629
1120765_sf_hexa 203.933 3.01985 1.06104
1120766_sf_hexa 11.1249 1.58326 1
1120767_sf_hexa 10.5951 1.70019 1.0008
1120768_sf_hexa 65.3535 3.2701 1.01601
1120770_sf_hexa 23.0313 2.42851 1.01181
1120774_sf_hexa 211.098 3.27153 1.01633
1120775_sf_hexa 11.3843 1.59172 1
1120776_sf_hexa 15.4755 2.19128 1.11899
1120778_sf_hexa 186.402 3.70033 1.01866
1120779_sf_hexa 9.16379 1.58167 1
112542_sf_hexa 10.9713 1.99898 1.00432
112776_sf_hexa 63.1227 2.94151 1.04462
1129073_sf_hexa 9.5912 2.63554 1.02577
1129074_sf_hexa 8.63407 2.56836 1.02609
1129075_sf_hexa 8.75571 1.52359 1
1129077_sf_hexa 35.9633 2.01093 1
1129080_sf_hexa 32.2415 2.30129 1.00009
1129081_sf_hexa 12.1681 1.57028 1.00009
1129082_sf_hexa 33.659 2.28711 1.00009
1129083_sf_hexa 12.4732 1.57322 1.00008
1129084_sf_hexa 29.7946 1.7044 1
112916_sf_hexa 27.6127 2.87743 1.07479
112918_sf_hexa 55.5071 3.04246 1.03367
112919_sf_hexa 12.2066 1.85757 1.03053
112920_sf_hexa 49.7719 2.86359 1.07217
112921_sf_hexa 80.054 2.69816 1.01968
112922_sf_hexa 12.0272 1.79797 1.02797
112925_sf_hexa 62.0092 2.28692 1.0012
112928_sf_hexa 10.2555 1.82882 1.03793
112929_sf_hexa 56.6616 2.72321 1.02872
112930_sf_hexa 52.839 2.72827 1.02987
112940_sf_hexa 11.1645 1.74779 1.03809
112941_sf_hexa 10.5214 2.18864 1.11242
112998_sf_hexa 101.875 2.46807 1.01785
112999_sf_hexa 55.1929 2.5319 1.00774
1130078_sf_hexa 26.6689 2.86967 1.08508
1130082_sf_hexa 23.3798 1.84069 1.00079
113125_sf_hexa 7.90508 1.28457 1.00151
113126_sf_hexa 9.75273 1.32744 1.00163
113127_sf_hexa 9.75273 1.34068 1.00117
113128_sf_hexa 9.35738 1.29436 1.00033
113420_sf_hexa 32.1166 2.22402 1.00107
113421_sf_hexa 67.9341 2.52238 1.00431
113422_sf_hexa 53.0991 2.58303 1.00465
113653_sf_hexa 47.4327 2.70632 1.05004
113861_sf_hexa 84.319 3.09862 1.02878
113862_sf_hexa 36.0322 3.09879 1.05066
113863_sf_hexa 85.2068 2.71459 1.04792
113864_sf_hexa 49.3768 2.79758 1.09507
113865_sf_hexa 49.7884 2.62411 1.03996
113866_sf_hexa 9.88449 2.41941 1.02039
113867_sf_hexa 14.2283 1.79426 1.00572
113868_sf_hexa 11.7929 1.55873 1.00078
113869_sf_hexa 9.70913 1.76074 1.00069
113890_sf_hexa 39.9414 2.84951 1.01108
113891_sf_hexa 70.9169 2.75502 1.0245
114020_sf_hexa 11.8318 1.85349 1.02357
1146162_sf_hexa 26.9397 1.63353 1.00022
1146164_sf_hexa 81.3168 1.99099 1.0008
1146165_sf_hexa 58.6863 2.74624 1.03262
1146168_sf_hexa 130.393 2.85571 1.09145
1146170_sf_hexa 46.3414 2.73871 1.00506
1146175_sf_hexa 35.1182 2.30509 1.00317
1146179_sf_hexa 67.6557 2.69086 1.00437
1146180_sf_hexa 81.8081 2.31476 1.03116
1146183_sf_hexa 19.5912 1.5447 1.00025
1146184_sf_hexa 12.4919 1.87122 1.02701
1146185_sf_hexa 100.814 2.88886 1.07457
1146186_sf_hexa 26.2925 1.48476 1.00027
1146187_sf_hexa 43.6328 3.03096 1.11747
1146188_sf_hexa 18.9922 1.73057 1.00047
1146189_sf_hexa 144.773 3.15248 1.02347
1146190_sf_hexa 58.5693 2.84502 1.03838
1146191_sf_hexa 29.1794 2.35943 1.00147
1146192_sf_hexa 20.5559 2.2417 1.05714
1146193_sf_hexa 66.9042 2.70075 1.09291
1146195_sf_hexa 73.5537 2.27635 1.07604
1146197_sf_hexa 201.725 2.92235 1.09159
1146260_sf_hexa 51.3485 2.73426 1.06808
1146261_sf_hexa 75.7057 2.60462 1.00732
1147240_sf_hexa 41.6121 2.69367 1.07749
1148096_sf_hexa 82.8282 2.82504 1.00123
1148449_sf_hexa 7.64852 1.53905 1.0005
115051_sf_hexa 86.4166 3.02923 1.05327
115053_sf_hexa 69.9457 2.9422 1.04624
115054_sf_hexa 89.4475 2.92946 1.02046
115059_sf_hexa 67.7048 3.03356 1.05987
115060_sf_hexa 105.857 3.06014 1.04086
115061_sf_hexa 80.0957 2.9619 1.05717
115062_sf_hexa 68.2439 2.9187 1.04624
115063_sf_hexa 68.4812 2.99681 1.04681
115064_sf_hexa 280.319 2.94853 1.04217
115065_sf_hexa 68.1995 2.96284 1.03587
115066_sf_hexa 66.592 2.92479 1.03051
115067_sf_hexa 67.6082 2.977 1.04896
115068_sf_hexa 68.8573 2.9655 1.05473
115069_sf_hexa 68.062 2.9333 1.038
1153643_sf_hexa 28.1511 2.93706 1.05117
1153645_sf_hexa 13.2775 2.61931 1.02245
115532_sf_hexa 92.8802 2.78723 1.00734
1158263_sf_hexa 4.04185 1.56047 1.01016
116063_sf_hexa 25.2859 2.61302 1.007
116065_sf_hexa 7.80037 1.57956 1.00121
116066_sf_hexa 10.312 1.46703 1
116068_sf_hexa 89.9994 3.26569 1.08254
116069_sf_hexa 28.8045 1.75648 1.00002
116070_sf_hexa 191.932 2.72039 1.00156
116073_sf_hexa 9.38333 1.46618 1.00038
116074_sf_hexa 18.673 2.51508 1.04619
116075_sf_hexa 20.7843 1.42234 1.00002
116078_sf_hexa 83.9563 1.85411 1.00097
116079_sf_hexa 27.1616 2.45226 1.04153
116080_sf_hexa 28.9611 2.52515 1.02902
1164424_sf_hexa 47.537 2.26774 1.00136
116872_sf_hexa 79.6575 2.78179 1.02993
116878_sf_hexa 67.9943 2.618 1.00013
116891_sf_hexa 40.7571 3.26597 1.00853
116893_sf_hexa 52.8514 3.16289 1.03094
117003_sf_hexa 93.9428 2.6263 1.00508
117007_sf_hexa 55.0775 2.97775 1.01407
117018_sf_hexa 8.322 1.59729 1.00068
117139_sf_hexa 131.991 3.18841 1.09147
117524_sf_hexa 78.8192 2.56504 1.03675
117525_sf_hexa 96.7575 2.72392 1.06637
117526_sf_hexa 55.7461 2.7191 1.06198
1179043_sf_hexa 101.818 3.0485 1.01091
1179044_sf_hexa 207.28 3.04026 1.00866
117949_sf_hexa 17.3237 1.41726 1.00002
117952_sf_hexa 36.3747 2.59992 1.00227
118032_sf_hexa 17.6112 2.02062 1.01825
118034_sf_hexa 6.90535 1.63346 1.00176
118289_sf_hexa 21.0865 1.83328 1.00031
118290_sf_hexa 22.6645 2.74062 1.05583
118292_sf_hexa 52.678 3.03749 1.03924
118293_sf_hexa 31.5076 2.6482 1.08747
118296_sf_hexa 184.079 2.68715 1.02756
118299_sf_hexa 23.9714 2.72132 1.05788
118301_sf_hexa 59.8554 2.99844 1.03972
118302_sf_hexa 43.1227 2.68627 1.08152
118303_sf_hexa 21.1226 1.70312 1.02421
118304_sf_hexa 11.8011 1.88972 1.00262
118306_sf_hexa 9.69952 1.86299 1.00451
118307_sf_hexa 24.5997 2.71268 1.06555
118309_sf_hexa 27.9765 2.32512 1.05332
118317_sf_hexa 16.6582 1.7139 1.00755
118676_sf_hexa 41.9952 2.65701 1.05095
118681_sf_hexa 107.695 3.18825 1.01804
118683_sf_hexa 227.266 2.91334 1.05923
118714_sf_hexa 10.6181 1.98165 1.00072
118899_sf_hexa 28.3422 2.82981 1.06141
118904_sf_hexa 18.4273 2.7831 1.0473
118905_sf_hexa 53.1222 2.17875 1.02607
118908_sf_hexa 236.977 3.35766 1.02051
118914_sf_hexa 22.9698 2.34967 1.05681
119052_sf_hexa 123.102 2.4312 1.01694
119831_sf_hexa 44.2784 2.69494 1.02908
119918_sf_hexa 100.827 2.94492 1.01475
120755_sf_hexa 5.47351 1.79768 1.05951
120756_sf_hexa 5.77334 1.89195 1.04147
1207654_sf_hexa 9.80744 1.90887 1.0077
1207658_sf_hexa 33.2384 3.03987 1.01523
1207659_sf_hexa 47.7441 2.59712 1.04809
1207660_sf_hexa 14.3699 1.66454 1.00188
1207663_sf_hexa 67.7635 2.5557 1.00299
1207665_sf_hexa 66.3903 2.90917 1.0353
1207668_sf_hexa 68.5023 2.83969 1.03605
120786_sf_hexa 81.9153 2.69443 1.0032
1211688_sf_hexa 54.1008 3.06551 1.09916
1211689_sf_hexa 54.5659 3.07698 1.0992
1211690_sf_hexa 23.6174 3.07533 1.09948
1211692_sf_hexa 54.5246 3.07282 1.09936
1211693_sf_hexa 27.5217 3.05845 1.09813
1213332_sf_hexa 334.86 2.74986 1.04336
121394_sf_hexa 5.83595 1.94499 1.02834
121395_sf_hexa 14.2096 1.55939 1.00086
121396_sf_hexa 51.5279 2.96245 1.08235
121397_sf_hexa 13.7448 1.80505 1.01407
121398_sf_hexa 8.19426 1.23663 1
121400_sf_hexa 8.06609 1.39917 1.00001
1215417_sf_hexa 11.9205 2.01116 1.0097
1215418_sf_hexa 92.7547 2.62316 1.03232
121869_sf_hexa 65.4675 2.50087 1.01446
122126_sf_hexa 127.736 2.39579 1.00011
122201_sf_hexa 28.6531 2.26844 1.00031
122354_sf_hexa 94.2808 2.78536 1.01259
1223673_sf_hexa 111.056 2.18852 1.00028
1223674_sf_hexa 58.761 2.07802 1.00014
1224383_sf_hexa 58.229 2.569 1.00968
1224384_sf_hexa 44.5456 2.54484 1.0112
1224385_sf_hexa 78.8929 2.44661 1.00589
1224386_sf_hexa 56.1516 2.44223 1.00587
1224388_sf_hexa 82.631 2.19378 1
122550_sf_hexa 39.4264 2.58931 1.03924
122551_sf_hexa 15.2312 1.47622 1.00003
1228193_sf_hexa 4.43021 1.40081 1.00007
1228194_sf_hexa 43.0674 2.74543 1.10711
1228196_sf_hexa 23.0854 2.75743 1.03992
1228197_sf_hexa 26.5394 2.03249 1.01679
1228199_sf_hexa 48.5626 2.0318 1.00281
122866_sf_hexa 10.288 1.99445 1.07177
122868_sf_hexa 25.9998 2.69022 1.07938
123045_sf_hexa 57.6836 2.87189 1.09829
123303_sf_hexa 9.68859 1.92246 1.00655
123354_sf_hexa 40.4036 2.77853 1.02639
123958_sf_hexa 9.65119 1.69334 1.01283
124036_sf_hexa 83.9095 2.58293 1.08549
124040_sf_hexa 63.5852 2.49506 1.06239
124041_sf_hexa 44.7732 2.55317 1.02748
124042_sf_hexa 36.8642 2.52793 1.06095
124043_sf_hexa 63.3835 3.25604 1.05525
124249_sf_hexa 27.9172 2.07658 1.04206
124358_sf_hexa 10.368 1.88784 1.00454
124362_sf_hexa 163.382 2.88254 1.05727
124372_sf_hexa 28.7159 2.75162 1.08153
124375_sf_hexa 15.868 2.76067 1.11807
124534_sf_hexa 101.176 2.61164 1.01141
124836_sf_hexa 70.9127 2.9065 1.03853
1255206_sf_hexa 32.2573 2.0864 1.00001
126195_sf_hexa 26.7623 2.11358 1.00253
126197_sf_hexa 55.7933 2.48132 1.01255
126813_sf_hexa 72.6871 3.21072 1.02899
127151_sf_hexa 67.6527 2.61332 1.01927
127152_sf_hexa 81.0404 3.04703 1.0883
127214_sf_hexa 71.0734 2.54327 1.00286
127243_sf_hexa 32.5877 2.53569 1.00669
127249_sf_hexa 93.7534 2.55895 1.01871
127261_sf_hexa 74.6762 2.63686 1.01487
127275_sf_hexa 196.228 2.52662 1.00974
127316_sf_hexa 52.4268 2.33468 1
1273629_sf_hexa 106.961 2.48914 1.00955
1273630_sf_hexa 36.365 2.35412 1.01128
1275114_sf_hexa 50.6983 3.0631 1.02181
1275115_sf_hexa 154.818 2.7283 1.02168
1275116_sf_hexa 38.3474 2.82155 1.03106
1275117_sf_hexa 35.3995 2.65668 1.01502
127891_sf_hexa 96.2365 2.95687 1.16469
1282328_sf_hexa 26.9737 1.68149 1
128336_sf_hexa 84.8465 2.86624 1.0149
128558_sf_hexa 37.4626 3.58293 1.00014
1288651_sf_hexa 17.4707 2.52232 1.0376
128913_sf_hexa 82.5718 2.7889 1.01475
1291011_sf_hexa 119.178 3.16552 1.09107
129288_sf_hexa 28.2233 1.94726 1.00414
129890_sf_hexa 12.5556 1.80972 1.01339
129891_sf_hexa 92.0161 2.86466 1.00954
129892_sf_hexa 21.485 2.46415 1.04788
129896_sf_hexa 34.8313 2.38469 1.06365
129898_sf_hexa 21.654 2.53368 1.08145
129909_sf_hexa 165.569 2.7805 1.02044
129910_sf_hexa 439.752 2.7898 1.03095
129911_sf_hexa 64.2642 2.64664 1.01264
129912_sf_hexa 49.0485 2.68056 1.01512
129914_sf_hexa 29.1015 2.59611 1.00251
129915_sf_hexa 70.2822 2.97404 1.05347
129916_sf_hexa 19.6757 1.67057 1.00123
129917_sf_hexa 4.50392 1.60732 1.00498
129918_sf_hexa 24.3328 2.59206 1.02462
129919_sf_hexa 62.5834 2.97377 1.05788
129920_sf_hexa 31.9837 2.97494 1.02081
129922_sf_hexa 43.6011 2.70182 1.03321
129923_sf_hexa 51.477 2.32967 1.01142
129926_sf_hexa 143.728 3.13193 1.07577
129927_sf_hexa 122.498 3.04494 1.06216
129928_sf_hexa 34.5213 2.89916 1.04663
129930_sf_hexa 21.2798 1.86797 1.00468
129932_sf_hexa 50.7836 2.12952 1.00271
129975_sf_hexa 17.9049 3.32995 1.05451
130016_sf_hexa 265.843 3.13698 1.05667
130017_sf_hexa 21.4331 2.53912 1.15126
130206_sf_hexa 99.6323 2.48199 1.00929
130441_sf_hexa 49.4946 2.50978 1.06216
130443_sf_hexa 99.6832 3.41743 1.02933
1307396_sf_hexa 10.1767 1.78738 1.00732
1307399_sf_hexa 49.3183 3.00094 1.0107
1307400_sf_hexa 38.7227 2.85612 1.01161
130968_sf_hexa 20.1153 2.0614 1.07965
130971_sf_hexa 68.9604 2.72177 1.0448
130972_sf_hexa 62.7753 2.74886 1.04061
130975_sf_hexa 48.7372 2.48898 1.05277
130976_sf_hexa 23.5789 2.25234 1.0509
1312951_sf_hexa 19.6144 1.67776 1.00444
1312952_sf_hexa 79.7609 2.49777 1.02677
1312953_sf_hexa 91.736 2.94966 1.08771
1312954_sf_hexa 7.94807 1.56723 1.04965
1312955_sf_hexa 18.6054 1.71846 1.00901
1312957_sf_hexa 81.2003 2.83167 1.03346
1312958_sf_hexa 160.305 2.59978 1.03022
1312960_sf_hexa 14.0914 1.53277 1.00025
1312965_sf_hexa 63.7307 2.77297 1.03836
1312966_sf_hexa 82.389 3.0044 1.05728
1312968_sf_hexa 32.4177 2.6023 1.05499
1312969_sf_hexa 120.567 2.611 1.01138
1312971_sf_hexa 31.889 1.79389 1.00186
1313200_sf_hexa 14.0478 1.38833 1
1313533_sf_hexa 4.89603 1.4857 1.14473
131372_sf_hexa 113.234 3.73388 1.04189
131376_sf_hexa 310.19 3.5795 1.02865
1315831_sf_hexa 24.5207 2.02062 1.04192
1315833_sf_hexa 29.6608 1.97768 1.03916
1315838_sf_hexa 69.1528 2.19112 1.07062
1315839_sf_hexa 55.5825 2.18115 1.02732
1315840_sf_hexa 16.0346 2.22692 1.1076
1315842_sf_hexa 30.781 2.60371 1.05465
1315844_sf_hexa 48.122 2.4336 1.09614
1315845_sf_hexa 34.4501 2.64639 1.02288
131601_sf_hexa 109.875 2.70098 1.02124
131604_sf_hexa 492.184 2.78339 1.0157
131605_sf_hexa 45.9153 2.72335 1.03051
131720_sf_hexa 18.4959 1.76381 1.00244
131725_sf_hexa 12.7911 1.63376 1.00403
131727_sf_hexa 14.0025 2.4882 1.03881
131730_sf_hexa 64.0449 2.72905 1.03694
131733_sf_hexa 134.753 3.01289 1.00919
131969_sf_hexa 10.9381 1.62624 1.00002
132053_sf_hexa 191.666 2.86453 1.0361
132054_sf_hexa 87.7031 2.93909 1.0139
132058_sf_hexa 42.7357 3.01227 1.09217
132204_sf_hexa 154.821 3.14738 1.03135
1322464_sf_hexa 26.5846 2.29573 1.02124
1322465_sf_hexa 44.4399 1.8715 1.00004
132421_sf_hexa 60.1789 2.72828 1.0698
132424_sf_hexa 38.5493 2.72232 1.02466
132427_sf_hexa 60.3826 3.40938 1.07579
132428_sf_hexa 8.03424 1.69539 1.00321
132429_sf_hexa 8.26109 1.74696 1.03417
132430_sf_hexa 26.3815 2.20074 1.00572
132433_sf_hexa 50.9333 2.60526 1.04693
132434_sf_hexa 44.636 3.14636 1.04475
132435_sf_hexa 64.282 2.98615 1.07386
132445_sf_hexa 116.698 2.87794 1.02326
132447_sf_hexa 6.84493 1.793 1.00464
1324574_sf_hexa 18.5883 1.68793 1.00003
